1.3069,24,32,2,3,18,34,7,24,20,18,19,21,1,3,9,14,10,11,1,22,27,42,,,,,,,
1.3724,25,30,1,3,18,33,14,25,31,16,21,27,1,0,5,17,11,10,2,22,23,38,,,,,,,
1.4339,27,29,2,3,16,38,11,22,32,17,20,20,0,7,1,15,9,11,2,19,27,42,,,,,,,
1.4953,25,31,2,3,19,34,20,23,35,13,20,25,1,2,0,18,0,13,2,20,29,35,,,,,,,
1.5568,28,28,2,2,18,23,1,21,34,18,19,20,1,4,3,22,11,11,2,22,27,38,,,,,,,
1.6221,27,31,2,2,15,32,24,20,29,15,23,24,1,5,7,15,0,14,1,20,22,35,,,,,,,
1.6836,25,32,1,3,18,33,0,25,40,18,19,19,1,1,8,22,21,11,1,18,26,40,,,,,,,
1.7452,23,29,1,3,16,34,25,25,32,15,20,29,1,4,6,16,19,11,2,13,21,41,,,,,,,
1.8107,27,30,2,3,17,35,15,22,20,19,18,22,0,3,5,21,22,11,2,18,27,38,,,,,,,
1.8722,27,27,2,3,19,41,26,23,35,14,21,25,1,4,6,15,6,14,2,18,24,33,,,,,,,
1.9337,28,29,2,2,17,30,20,21,29,15,20,17,1,3,3,22,19,12,2,21,27,38,,,,,,,
1.9951,25,31,1,3,18,40,26,25,33,15,19,24,1,6,9,17,9,12,2,19,25,39,,,,,,,
2.0603,24,29,1,3,15,34,0,24,33,16,16,25,1,0,5,21,23,11,2,21,22,41,,,,,,,
2.1219,24,30,2,3,16,37,27,23,28,16,15,25,0,2,11,16,15,12,2,15,27,39,,,,,,,
2.1838,28,27,2,3,14,37,16,18,28,13,20,22,0,2,5,22,20,12,2,17,26,36,,,,,,,
2.2487,24,26,2,2,18,39,31,23,34,14,17,22,1,3,6,17,13,12,1,23,23,42,,,,,,,
2.3102,25,29,1,3,17,30,7,21,19,19,23,26,1,4,6,22,21,11,1,23,25,44,,,,,,,
2.3718,24,33,1,3,18,36,25,26,32,16,20,22,1,2,5,16,22,12,2,20,24,40,,,,,,,
2.437,29,22,2,3,16,37,4,20,31,15,19,22,1,1,5,20,23,11,2,19,27,34,,,,,,,
2.4986,29,32,2,3,16,41,25,22,37,15,20,22,0,4,4,17,22,13,2,19,27,38,,,,,,,
2.5601,27,29,2,2,19,35,13,20,33,13,22,24,1,1,2,21,21,12,1,18,27,38,,,,,,,
2.6254,25,31,1,3,18,40,22,24,27,16,23,18,1,6,4,17,14,11,2,22,24,42,,,,,,,
2.6869,25,28,1,3,16,33,20,24,33,15,21,25,1,1,7,15,19,10,2,24,24,40,,,,,,,
2.7485,28,29,2,3,16,42,13,20,28,15,20,23,0,2,9,15,15,12,2,19,26,38,,,,,,,
2.81,29,28,2,3,18,37,13,23,35,15,23,23,1,1,5,15,18,10,2,19,26,38,,,,,,,
