27.9464	10	28	1
27.9998	10	22	10
28.0568	7	32	4
28.1102	7	21	7
28.1635	3	33	8
28.217	6	6	5
28.2741	7	24	12
28.3274	7	17	5
28.3807	8	16	4
28.4378	6	34	7
28.4912	6	18	3
28.5445	6	29	4
28.6016	5	16	7
28.655	8	31	5
28.7084	7	19	6
28.7655	6	30	2
28.8189	11	27	2
28.8722	5	29	9
28.9294	11	14	2
28.9826	7	12	6
29.0398	5	23	10
29.0932	11	32	7
29.1465	7	34	2
29.2037	10	23	10
29.257	9	25	5
29.3103	4	2	4
29.3637	0	0	0
29.4208	3	0	0
29.4741	1	7	0
29.5276	3	10	2
29.5845	3	0	4
29.6381	1	34	2
29.6913	1	17	5
29.7485	0	29	4
29.8018	5	17	5
29.8552	0	25	5
29.9123	2	19	7
29.9657	3	27	5
30.0191	1	17	4
30.0762	1	13	10
30.1295	0	25	6
30.1828	3	16	6
30.2399	5	32	5
30.2933	6	22	4
30.3468	3	28	0
30.4037	6	0	9
30.4571	4	28	7
30.5105	3	17	4
30.5676	2	17	7
30.621	6	27	7
30.6744	4	22	4
30.7314	4	27	3
30.7848	3	21	3
30.8382	1	32	3
30.8958	3	14	9
30.9488	4	30	6
31.0022	3	19	6
31.0591	4	16	5
31.1125	4	23	7
31.1658	2	13	6
31.2229	4	32	5
31.2765	2	25	6
31.3297	4	23	2
31.3867	1	24	3
31.4401	2	27	8
31.4935	6	10	6
31.5506	5	27	2
31.6039	3	21	9
31.6574	3	20	5
31.7107	6	18	4
31.7678	4	22	3
31.8211	7	29	6
31.8783	2	21	13
31.9316	4	27	6
31.9849	2	9	6
32.0384	4	30	5
32.0954	4	22	6
32.1488	3	16	3
32.2022	4	30	7
32.2593	4	13	5
32.3126	5	22	3
32.366	1	14	6
32.4231	4	32	2
32.4764	3	13	7
32.5298	8	25	7
32.5869	4	22	9
32.6404	4	14	9
32.6937	5	25	2
32.7508	5	25	6
32.8041	8	29	9
32.8575	5	14	4
32.9146	4	31	5
32.968	2	20	7
33.0213	4	25	7
33.0784	6	21	4
33.1318	8	15	8
33.1851	0	19	5
33.2422	5	20	2
33.2956	7	19	1
33.349	5	14	2
33.4061	7	33	5
33.4594	4	17	4
33.5129	4	25	9
33.5699	7	6	4
33.6232	5	27	3
33.6766	6	3	2
33.7337	5	18	1
33.7872	4	26	4
33.8405	7	18	5
33.8976	4	24	0
33.951	5	19	5
34.0043	8	29	5
34.0614	6	26	5
34.1148	6	32	5
34.1681	5	14	6
34.2252	7	22	6
34.2786	9	22	1
34.3319	5	23	5
34.389	7	24	6
34.4425	4	19	1
34.4959	5	29	1
34.5529	10	22	4
34.6063	3	37	1
34.6596	4	18	3
34.7168	6	26	6
34.7701	7	18	3
34.8235	5	26	7
34.8768	5	17	2
34.9338	6	9	1
34.9873	5	26	6
35.0406	4	12	7
35.0978	9	24	2
35.1511	2	15	4
35.2045	7	26	6
35.2615	4	15	4
35.315	3	30	2
35.3683	1	22	3
35.4254	5	30	8
35.4788	2	29	0
35.532	8	4	1
35.5892	2	34	7
35.6427	12	20	3
35.6959	4	32	3
35.7531	7	16	3
35.8065	5	25	2
35.8598	9	21	2
35.9169	5	23	4
35.9702	2	28	3
36.0236	5	30	2
36.0807	8	24	2
36.1341	8	19	6
36.1875	8	31	3
36.2445	5	19	8
36.2979	5	17	5
36.3512	3	7	3
36.4084	5	27	4
36.4617	7	5	2
36.515	2	0	2
36.5722	7	27	5
36.6256	4	20	4
36.6791	2	30	3
36.736	7	21	4
36.7893	6	34	4
36.8428	7	10	9
36.8998	8	26	3
36.9535	7	22	4
37.0068	5	21	6
37.0599	6	20	0
37.117	8	19	7
37.1704	3	21	2
37.2238	4	10	2
37.2809	4	22	0
37.3344	10	25	8
37.3876	6	28	4
37.4447	9	12	1
37.4981	7	29	2
37.5515	3	28	4
37.6086	5	21	5
37.6619	6	20	1
37.7153	6	18	5
37.7723	8	23	2
37.8257	4	14	3
37.8791	3	29	3
37.9361	5	3	4
37.9895	5	34	5
38.043	4	16	2
38.1	6	27	4
38.1533	6	24	0
38.2067	3	19	3
38.2638	9	13	2
38.3171	7	4	1
38.3706	7	27	5
38.4277	6	16	6
38.481	2	25	3
38.5344	1	28	5
38.5914	5	31	6
38.6451	10	11	2
38.6982	4	28	0
38.7553	3	24	4
38.8086	7	21	5
38.8621	7	29	0
38.9191	8	11	4
38.9725	3	29	4
39.0259	8	1	5
39.0793	5	29	7
39.1363	6	8	6
39.1897	4	19	4
39.2433	6	15	1
39.3001	4	23	0
39.3536	5	24	2
39.4069	5	19	3
39.464	4	9	0
39.5173	8	13	4
39.5707	6	31	4
39.6278	4	23	7
39.6812	5	22	4
39.7345	2	13	2
39.7916	4	25	0
39.845	3	30	0
39.8985	5	15	11
39.9555	10	28	2
40.0088	5	19	4
40.0622	6	20	4
40.1192	3	13	4
40.1728	4	32	0
40.2261	7	23	6
40.2831	3	24	2
40.3364	4	5	0
40.3898	6	28	9
40.4469	8	22	3
40.5003	6	14	0
40.5537	4	24	1
40.6108	5	15	6
40.6642	3	25	2
40.7175	5	28	6
40.7746	8	31	5
40.828	10	11	6
40.8813	4	30	2
40.9347	4	24	5
40.9918	5	23	4
41.0452	4	20	1
41.0986	3	16	4
41.1557	1	22	5
41.209	6	26	6
41.2624	3	31	1
41.3193	2	0	9
41.3732	8	30	5
41.4262	8	28	5
41.4833	4	21	10
41.5366	7	13	2
41.59	5	27	7
41.6471	8	11	4
41.7005	4	16	6
41.7538	4	24	1
41.8109	5	21	5
41.8643	2	25	5
41.9177	10	18	9
41.9747	5	26	4
42.0281	3	15	4
42.0815	1	18	5
42.1385	7	18	3
42.1919	5	24	6
42.2453	6	22	4
42.3024	5	11	5
42.3558	7	31	4
42.4092	4	22	4
42.4662	4	23	4
42.5196	3	9	5
42.5729	5	28	6
42.63	3	10	2
42.6834	5	28	7
42.7368	4	26	5
42.7939	5	25	6
42.8472	4	27	2
42.9006	7	11	6
42.954	0	31	6
43.0111	3	27	8
43.0644	4	31	3
43.1178	5	21	4
43.1749	8	26	9
43.2282	5	25	1
43.2816	6	19	6
43.3389	6	17	1
43.3921	4	14	5
43.4455	4	19	4
43.5025	5	22	3
43.556	7	34	2
43.6093	6	23	6
43.6665	3	27	4
43.7198	7	20	4
43.7731	4	27	7
43.8301	4	0	4
43.8835	6	20	7
43.937	3	21	5
43.994	7	10	8
44.0474	3	21	1
44.1008	7	24	3
44.1579	10	28	6
44.2112	5	18	5
44.2646	4	25	5
44.3216	2	24	4
44.3752	5	27	10
44.4284	6	22	3
44.4855	6	23	4
44.5389	6	21	6
44.5922	4	23	5
44.6494	6	19	3
44.7027	7	15	8
44.7561	7	30	3
44.8132	6	25	3
44.8666	3	18	6
44.9199	5	21	3
44.977	4	29	2
45.0304	4	26	4
45.0837	6	23	2
45.1371	4	18	1
45.1942	3	23	8
45.2475	4	22	4
45.301	8	21	8
