10.0751,2,7,1,1,36,0,13,11,13,15,12,35,47,11,13,14,37,36,9,31,13,14,,,
10.1367,3,6,1,1,38,0,14,11,16,16,10,24,27,0,19,12,49,53,10,20,11,22,,,
10.202,2,7,1,1,32,0,14,11,13,16,10,34,22,5,15,18,35,50,3,12,12,17,,,
10.2637,2,6,1,0,24,1,11,11,15,16,15,29,45,10,23,16,45,56,7,12,11,18,,,
10.3291,2,6,1,1,32,1,11,12,10,16,11,24,35,8,6,18,40,54,10,26,12,18,,,
10.3905,3,6,1,0,29,1,11,11,11,15,12,33,46,7,5,17,42,50,13,19,11,18,,,
10.456,3,5,1,1,38,1,12,11,14,15,12,20,18,7,18,15,41,52,10,15,13,16,,,
10.5177,3,6,1,1,30,1,14,12,16,15,12,24,25,9,18,16,20,43,11,13,13,16,,,
10.583,3,5,1,1,21,1,12,9,14,18,13,29,44,11,20,22,36,49,10,16,13,16,,,
10.6447,3,5,1,1,30,1,13,8,18,13,15,22,23,7,14,21,37,54,16,22,13,14,,,
10.7064,3,7,0,1,21,1,12,12,19,14,12,31,48,9,3,17,40,48,17,2,13,15,,,
10.7716,3,6,1,1,29,1,13,7,10,15,10,20,34,7,22,10,44,56,10,18,13,20,,,
10.8333,3,5,0,1,32,1,14,12,20,16,10,36,25,4,18,16,32,42,8,19,13,17,,,
10.8986,2,7,1,0,35,1,12,11,20,13,10,35,45,7,25,12,48,55,7,16,11,19,,,
10.9602,2,6,1,1,34,0,14,9,18,13,11,30,24,3,13,17,47,55,11,28,11,17,,,
11.0256,2,5,1,0,31,1,12,11,16,14,10,34,41,4,17,13,20,54,6,12,11,18,,,
11.087,3,6,1,0,31,1,11,9,15,15,11,18,24,11,18,16,49,56,7,7,13,18,,,
11.1523,3,6,1,1,29,1,12,11,23,14,12,12,33,7,7,16,18,47,10,15,13,17,,,
11.214,3,7,1,1,33,1,15,8,23,11,13,32,48,10,21,20,35,44,11,8,13,23,,,
11.2793,3,6,0,1,30,1,12,7,19,14,15,17,43,6,12,17,49,57,13,22,13,15,,,
11.3409,3,1,0,1,32,1,13,12,18,8,12,31,44,3,17,17,38,54,15,12,13,14,,,
11.4022,3,6,0,1,29,1,11,8,19,14,9,0,31,8,23,14,45,59,9,0,13,18,,,
11.4678,3,4,1,1,33,1,12,11,16,19,10,12,22,4,19,11,32,43,8,23,11,17,,,
11.5294,3,5,1,1,32,1,11,11,17,15,13,20,48,9,20,16,34,50,9,20,11,21,,,
11.5947,3,5,1,1,35,1,12,10,16,18,16,8,39,8,0,16,47,58,13,32,11,21,,,
11.66,3,5,1,1,29,1,12,12,23,14,13,23,40,11,4,15,32,52,12,13,13,17,,,
11.7214,3,5,1,1,31,1,9,12,17,15,12,2,43,10,6,17,45,53,10,18,13,22,,,
11.783,3,5,1,1,29,1,11,8,20,14,13,1,30,0,8,15,17,49,13,20,13,14,,,
11.8483,3,6,0,1,36,1,10,5,22,14,12,22,46,2,12,14,41,43,9,19,13,16,,,
11.91,3,6,1,1,33,0,13,10,14,13,15,7,28,4,13,20,41,55,11,26,13,16,,,
11.9753,3,8,0,1,34,0,13,10,19,14,10,21,33,1,6,13,36,50,4,22,13,17,,,
12.037,2,7,1,1,27,0,11,10,15,14,8,14,37,0,9,13,48,52,8,26,11,17,,,
12.1022,2,5,1,0,32,1,11,9,11,14,10,13,35,0,1,16,39,50,10,25,13,17,,,
12.1639,3,6,1,1,42,1,9,12,19,12,12,22,47,4,14,15,39,44,13,19,12,21,,,
12.2291,3,5,1,1,33,1,13,8,12,16,10,15,29,0,1,14,44,55,15,27,13,18,,,
12.2907,3,3,1,1,32,1,12,11,12,11,12,19,34,0,0,16,40,44,9,19,13,14,,,
12.3523,3,4,1,1,29,1,10,6,14,10,12,6,38,5,14,15,38,48,13,25,13,18,,,
12.4176,3,6,0,1,32,1,14,9,14,10,15,2,37,0,3,17,44,49,11,25,13,16,,,
12.483,3,4,0,1,32,0,13,8,11,12,12,19,47,2,21,14,26,55,13,25,13,17,,,
12.5445,3,6,0,1,32,1,12,9,6,10,9,11,24,3,11,16,47,61,14,31,13,19,,,
12.6062,3,3,1,1,30,0,13,12,19,14,9,23,26,1,0,16,37,50,15,20,11,17,,,
12.6716,2,5,1,0,26,1,11,13,15,13,14,21,41,7,17,15,50,50,4,20,11,20,,,
12.7332,3,6,1,0,34,1,11,10,19,18,14,18,23,5,5,12,50,48,11,19,13,17,,,
12.7985,3,4,1,1,35,1,8,11,22,12,12,23,52,6,16,17,48,50,8,16,13,16,,,
12.8601,3,5,1,1,31,1,8,14,19,13,12,0,25,5,11,19,40,53,11,20,13,16,,,
12.9254,3,5,1,1,32,1,13,10,12,11,11,29,35,3,9,19,23,53,5,21,13,14,,,
